no,name,team,score,numOfGame,ScorePergame
1,양지원,울산,3,1,3
2,권찬수,성남,13,10,1.3
3,박종문,전남,15,10,1.5
4,신범철,수원,16,8,2
5,박동우,전남,20,17,1.18
6,신의손,안양LG,21,24,0.88
7,정유석,부산,26,20,1.3
7,조준호,포항,26,20,1.3
9,김병지,울산,34,26,1.31
