no,name,team,score,numOfGame,ScorePergame
1,이재일1,할렐,1,1,1
2,임용주,포철,3,4,0.75
2,송재용,국민,3,1,3
4,최인영,국민,4,2,2
5,오연교,유공,10,9,1.11
5,김태형,국민,10,5,2
7,박영수,유공,12,7,1.71
8,강창근,국민,13,8,1.63
9,정성교,대우,14,15,0.93
