no,name,team,score,numOfGame,ScorePergame
1,이양종,대구,1,1,1
2,양동원,수원,2,2,1
2,최무림,울산,2,1,2
2,황교충,포항,2,1,2
5,강성관,성남,3,2,1.5
5,정산,성남,3,1,3
7,한일구,서울,4,2,2
8,정유석,울산,5,5,1
9,최현,대전,6,2,3
10,김다솔,포항,7,7,1
10,윤기원,인천,7,5,1.4
