no,name,team,score,numOfGame,ScorePergame
1,조병득,포철,1,6,0.17
2,김풍주,대우,5,7,0.71
3,호성호,현대,6,3,2
4,최인영,현대,7,4,1.75
5,오연교,현대,12,17,0.71
5,김현태,럭금,12,8,1.5
5,정성교,대우,12,8,1.5
8,김동훈,대우,13,11,1.18
9,차상광,럭금,17,16,1.06
10,이문영,유공,24,24,1
