no,name,team,score,numOfGame,ScorePergame
1,양한빈,성남,1,1,1
2,양동원,수원,2,3,0.67
3,김기용,부산,3,2,1.5
3,류원우,전남,3,2,1.5
5,유상훈,서울,4,3,1.33
6,이창근,부산,5,5,1
7,김다솔,포항,7,5,1.4
8,전태현,제주,8,7,1.14
9,김영광1,울산,10,6,1.67
