no,name,team,score,numOfGame,ScorePergame
1,성경모,인천,1,1,1
2,박동석,서울,2,6,0.33
2,전상욱,성남,2,3,0.67
2,신승경,경남,2,1,2
2,정유석,부산,2,1,2
6,김민식,전북,3,2,1.5
6,김근배,강원,3,1,3
6,양동원,대전,3,1,3
9,신준배,대전,4,3,1.33
