no,name,team,score,numOfGame,ScorePergame
1,김대환2,수원,2,2,1
2,조준호,포항,3,2,1.5
2,김태수2,안양LG,3,1,3
4,권정혁,울산,4,2,2
4,남민호,부천SK,4,1,4
6,백민철,광주상,8,5,1.6
7,박호진,광주상,9,6,1.5
8,김영광1,전남,15,11,1.36
9,정유석,부산,17,8,2.13
