no,name,team,score,numOfGame,ScorePergame
1,김승안,포항,1,1,1
2,박동우,일화,2,1,2
2,이명열,포항,2,1,2
4,신범철,대우,6,6,1
5,박종문,전남,11,10,1.1
5,알렉세이2,전북,11,10,1.1
5,임종국,LG,11,4,2.75
8,유리쉬쉬킨,전남,14,12,1.17
8,박철우,전남,14,10,1.4
