no,name,team,score,numOfGame,ScorePergame
1,최인영,현대,3,4,0.75
2,오연교,유공,5,5,1
2,조규태,할렐,5,3,1.67
4,오승혁,상무,6,4,1.5
5,박철우,포철,7,11,0.64
5,박영수,유공,7,3,2.33
7,정기동,포철,10,10,1
8,김영호1,유공,14,13,1.08
8,이춘섭,한일,14,8,1.75
10,김풍주,대우,16,21,0.76
