no,name,team,score,numOfGame,ScorePergame
1,김현태,럭금,2,2,1
2,나치선,일화,3,1,3
2,정성진,현대,3,1,3
4,정기동,포철,5,7,0.71
5,김풍주,대우,7,8,0.88
6,최인영,현대,11,10,1.1
7,마르첼,일화,12,8,1.5
7,이문영,유공,12,8,1.5
9,김동훈,대우,18,22,0.82
