no,name,team,score,numOfGame,ScorePergame
1,오연교,유공,8,3,2.67
2,김풍주,대우,9,15,0.6
3,정성교,대우,11,16,0.69
4,정기동,포철,17,16,1.06
5,차상광,럭금,19,15,1.27
6,호성호,현대,20,18,1.11
6,최인영,현대,20,13,1.54
8,조병득,포철,24,18,1.33
9,이문영,유공,35,30,1.17
