no,name,team,score,numOfGame,ScorePergame
1,차상광,부천유공,1,1,1
2,김풍주,부산,7,4,1.75
3,이정문,울산,8,3,2.67
4,이운재,수원,12,12,1
4,이용발,부천유공,12,6,2
6,사브첸코,안양LG,13,7,1.86
6,박동우,천안,13,5,2.6
8,드라간1,포항,15,12,1.25
9,박철우,수원,17,20,0.85
