rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,럭금,21,27,10,7,4,35,19,16
2,포철,21,25,9,7,5,25,17,8
3,대우,21,25,9,7,5,22,16,6
4,현대,21,24,10,4,7,23,21,2
5,유공,21,19,7,5,9,28,26,2
6,상무,21,19,6,7,8,23,30,-7
7,한일,21,16,3,10,8,18,30,-12
