rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,전북,30,57,18,7,5,62,34,28
2,성남,33,45,15,7,10,44,38,6
3,포항,29,53,14,11,4,55,34,21
4,전남,30,42,11,9,9,42,41,1
5,서울,29,53,16,5,7,48,28,20
6,인천,29,43,11,10,7,32,30,2
7,경남,28,40,10,10,8,38,32,6
8,울산,28,36,9,9,10,32,29,3
9,대전,28,33,8,9,11,29,38,-9
10,수원,28,32,8,8,12,29,32,-3
11,광주상,28,30,9,3,16,33,40,-7
12,부산,28,29,7,8,13,36,42,-6
13,강원,28,28,7,7,14,42,57,-15
14,제주,28,28,7,7,14,22,44,-22
