rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,할렐,16,20,6,8,2,28,20,8
2,대우,16,19,6,7,3,21,14,7
3,유공,16,17,5,7,4,26,22,4
4,포철,16,16,6,4,6,21,21,0
