rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,일화,30,54,15,9,6,42,30,12
2,유공,30,51,14,9,7,47,31,16
3,포철,30,50,13,11,6,49,37,12
4,현대,30,46,11,13,6,38,30,8
5,LG,30,43,12,7,11,53,50,3
6,대우,30,27,7,6,17,37,56,-19
