rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,울산,27,49,15,4,8,39,28,11
2,인천,27,51,15,6,6,41,32,9
3,성남,25,43,12,7,6,41,26,15
4,부산,25,28,7,7,11,28,33,-5
5,부천SK,24,42,12,6,6,26,18,8
6,포항,24,40,11,7,6,28,22,6
7,서울,24,32,8,8,8,37,32,5
8,대전,24,30,6,12,6,19,20,-1
9,대구,24,30,8,6,10,29,36,-7
10,수원,24,28,6,10,8,29,32,-3
11,전남,24,27,7,6,11,23,29,-6
12,전북,24,18,4,6,14,24,41,-17
