rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,포철,24,27,9,9,6,28,25,3
2,현대,24,25,10,5,9,30,25,5
3,유공,24,24,8,8,8,25,24,1
4,럭금,24,23,6,11,7,22,29,-7
