rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,서울,44,96,29,9,6,76,42,34
2,전북,44,79,22,13,9,82,49,33
3,포항,44,77,23,8,13,72,47,25
4,수원,44,73,20,13,11,61,51,10
5,울산,44,68,18,14,12,60,52,8
6,제주,44,63,16,15,13,71,56,15
7,부산,44,53,13,14,17,40,51,-11
8,경남,44,50,14,8,22,50,60,-10
9,인천,44,67,17,16,11,46,40,6
10,대구,44,61,16,13,15,55,56,-1
11,전남,44,53,13,14,17,47,60,-13
12,성남,44,52,14,10,20,47,56,-9
13,대전,44,50,13,11,20,46,67,-21
14,강원,44,49,14,7,23,57,68,-11
15,광주,44,45,10,15,19,57,67,-10
