rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,울산,32,51,16,3,13,60,54,6
2,수원,32,63,18,9,4,57,33,24
3,포항,32,61,16,10,5,54,38,16
4,부천유공,32,48,13,9,10,55,51,4
5,전북,32,37,10,7,15,41,49,-8
6,부산,32,36,9,9,14,45,51,-6
7,전남,32,36,9,9,14,40,53,-13
8,천안,32,32,8,8,16,52,63,-11
