rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,성남,44,91,27,10,7,85,50,35
2,울산,44,73,20,13,11,63,44,19
3,수원,44,72,19,15,10,59,46,13
4,전남,44,71,17,20,7,65,48,17
5,전북,44,69,18,15,11,72,58,14
6,대전,44,65,18,11,15,50,51,-1
7,포항,44,64,17,13,14,53,46,7
8,안양LG,44,56,14,14,16,69,68,1
9,부산,44,49,13,10,21,41,71,-30
10,광주상,44,46,13,7,24,41,60,-19
11,대구,44,37,7,16,21,38,60,-22
