rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,일화,30,68,13,0,6,35,23,12
2,LG,30,59,10,0,9,28,29,-1
3,현대,30,56,10,0,10,22,22,0
4,포철,30,52,8,0,8,34,29,5
5,유공,30,48,7,0,10,25,31,-6
