rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,포철,30,35,13,9,8,32,28,4
2,일화,30,34,10,14,6,27,21,6
3,현대,30,32,13,6,11,38,31,7
4,LG,30,29,8,13,9,30,35,-5
5,대우,30,28,7,14,9,26,33,-7
