rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,포철,20,18,5,8,7,18,23,-5
2,럭금,20,27,10,7,3,28,17,11
3,현대,20,22,7,8,5,22,17,5
4,대우,20,22,10,2,8,26,24,2
5,유공,20,19,7,5,8,29,26,3
