rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,수원,27,46,13,6,7,32,24,8
2,포항,27,36,9,9,8,24,24,0
3,울산,25,41,11,8,6,22,15,7
4,전남,25,37,9,10,6,29,21,8
5,서울,24,33,7,12,5,20,17,3
6,전북,24,32,8,8,8,23,18,5
7,부산,24,30,6,12,6,21,19,2
8,광주상,24,29,6,11,7,18,20,-2
9,성남,24,29,7,8,9,23,28,-5
10,대구,24,28,7,7,10,30,31,-1
11,대전,24,26,6,8,10,18,26,-8
12,인천,24,26,6,8,10,20,29,-9
