rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,수원,28,54,18,4,6,49,26,23
2,서울,29,54,15,10,3,50,30,20
3,울산,29,49,15,7,5,42,30,12
4,전북,28,37,11,4,12,41,39,2
5,성남,27,51,15,6,5,46,23,23
6,포항,27,44,13,5,8,43,34,9
7,인천,26,36,9,9,8,29,30,-1
8,경남,26,35,10,5,11,35,39,-4
9,전남,26,29,8,5,13,26,40,-14
10,제주,26,28,7,7,12,23,31,-8
11,대구,26,26,8,2,16,46,58,-12
12,부산,26,22,5,7,14,30,39,-9
13,대전,26,21,3,12,11,18,35,-17
