rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,성남,29,58,17,7,5,46,26,20
2,수원,29,46,12,10,7,31,25,6
3,포항,27,47,13,8,6,42,29,13
4,서울,27,39,9,12,6,31,23,8
5,울산,26,35,8,11,7,21,22,-1
6,전남,26,34,7,13,6,28,25,3
7,대구,26,34,8,10,8,32,30,2
8,부산,26,34,9,7,10,40,42,-2
9,인천,26,33,7,12,7,24,27,-3
10,대전,26,31,7,10,9,28,32,-4
11,전북,26,26,5,11,10,24,34,-10
12,경남,26,26,7,5,14,22,35,-13
13,제주,26,25,5,10,11,23,30,-7
