rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,대우,32,46,16,14,2,41,20,21
2,포철,32,40,16,8,8,64,41,23
3,유공,32,27,9,9,14,34,43,-9
4,현대,32,26,7,12,13,34,40,-6
