rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,럭금,30,39,14,11,5,40,25,15
2,대우,30,35,12,11,7,30,25,5
3,포철,30,28,9,10,11,29,28,1
4,유공,30,28,8,12,10,27,30,-3
5,현대,30,26,6,14,10,32,38,-6
