rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,안양LG,29,57,18,0,5,51,27,24
2,부천SK,32,41,11,0,10,54,45,9
3,성남,29,45,13,0,5,47,38,9
4,전북,28,37,11,0,12,35,42,-7
5,수원,27,36,11,0,9,48,43,5
6,부산,27,29,9,0,9,42,42,0
7,전남,27,28,8,0,12,28,35,-7
8,대전,27,24,7,0,14,26,40,-14
9,포항,27,22,5,0,11,31,39,-8
