rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,일화,28,48,13,9,6,36,25,11
2,포항,28,55,15,10,3,41,23,18
3,현대,28,45,11,12,5,35,21,14
4,유공,28,36,9,9,10,28,30,-2
5,대우,28,32,9,5,14,30,40,-10
6,전남,28,31,8,7,13,37,39,-2
7,전북,28,31,9,4,15,27,42,-15
