rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,성남,27,49,14,7,6,43,32,11
2,울산,27,47,13,8,6,37,27,10
3,수원,27,45,12,9,6,40,26,14
4,안양LG,27,40,11,7,9,37,30,7
5,전남,27,37,9,10,8,21,21,0
6,포항,27,36,9,9,9,31,34,-3
7,전북,27,35,8,11,8,37,36,1
8,부천SK,27,32,8,8,11,32,40,-8
9,부산,27,26,6,8,13,36,45,-9
