rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,부산,18,37,11,4,3,24,9,15
2,전남,18,36,10,6,2,26,13,13
3,울산,18,30,8,6,4,28,21,7
4,포항,18,30,8,6,4,25,22,3
5,수원,18,28,7,7,4,23,23,0
6,전북,18,26,6,8,4,32,25,7
7,대전,18,16,3,7,8,21,25,-4
8,천안,18,13,2,7,9,19,31,-12
9,안양LG,18,11,1,8,9,15,27,-12
