rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,포항,31,54,15,6,9,35,34,1
2,성남,28,55,16,7,5,44,22,22
3,수원,27,51,15,6,6,36,25,11
4,울산,28,48,13,9,6,37,24,13
5,경남,27,44,13,5,8,42,32,10
6,대전,27,37,10,7,10,34,29,5
7,서울,26,37,8,13,5,23,16,7
8,전북,26,36,9,9,8,36,32,4
9,인천,26,33,8,9,9,30,32,-2
10,전남,26,30,7,9,10,24,27,-3
11,제주,26,30,8,6,12,27,35,-8
12,대구,26,24,6,6,14,35,46,-11
13,부산,26,20,4,8,14,20,39,-19
