rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,전북,38,73,22,7,9,57,39,18
2,수원,38,67,19,10,9,60,43,17
3,포항,38,66,18,12,8,49,32,17
4,서울,38,62,17,11,10,52,44,8
5,성남,38,60,15,15,8,41,33,8
6,제주,38,50,14,8,16,55,56,-1
7,울산,38,53,13,14,11,54,45,9
8,인천,38,51,13,12,13,35,32,3
9,전남,38,49,12,13,13,46,51,-5
10,광주,38,42,10,12,16,35,44,-9
11,부산,38,26,5,11,22,30,55,-25
