rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,서울,30,62,21,3,6,62,29,33
2,제주,31,59,18,9,4,58,29,29
3,전북,31,51,17,6,8,57,37,20
4,성남,30,48,14,9,7,49,28,21
5,울산,29,50,15,5,9,48,33,15
6,경남,29,48,13,9,7,41,34,7
7,수원,28,41,12,5,11,39,44,-5
8,부산,28,33,8,9,11,36,37,-1
9,포항,28,33,8,9,11,39,48,-9
10,전남,28,32,8,8,12,40,49,-9
11,인천,28,31,8,7,13,42,51,-9
12,강원,28,30,8,6,14,36,50,-14
13,대전,28,22,5,7,16,27,50,-23
14,광주상,28,19,3,10,15,17,43,-26
