rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,수원,20,35,10,1,6,34,22,12
2,울산,22,30,9,1,6,41,31,10
3,포항,21,32,9,0,5,38,27,11
4,전남,19,26,8,0,6,21,20,1
5,부산,18,25,6,0,6,27,22,5
6,전북,18,25,8,0,8,30,35,-5
7,부천SK,18,24,7,0,6,28,32,-4
8,안양LG,18,23,6,0,4,28,28,0
9,대전,18,14,3,0,11,20,35,-15
