rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,성남,27,45,11,12,4,35,20,15
2,안양LG,27,43,11,10,6,30,23,7
3,수원,27,41,12,5,10,40,35,5
4,부산,27,41,10,11,6,38,33,5
5,포항,27,38,10,8,9,28,29,-1
6,울산,27,36,10,6,11,34,39,-5
7,부천SK,27,35,7,14,6,29,29,0
8,전남,27,28,6,10,11,28,33,-5
9,전북,27,25,5,10,12,23,33,-10
