rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,대우,40,52,17,18,5,49,32,17
2,현대,40,42,13,16,11,36,34,2
3,포철,40,39,12,15,13,46,47,-1
4,유공,40,37,10,17,13,38,40,-2
5,일화,40,37,13,11,16,56,63,-7
