rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,수원,29,64,19,0,5,60,26,34
2,부산,32,46,13,0,10,42,40,2
3,부천SK,29,47,11,0,9,48,41,7
4,전남,28,38,9,0,9,43,39,4
5,포항,27,35,11,0,8,42,41,1
6,울산,27,31,9,0,11,38,46,-8
7,전북,27,29,7,0,12,40,44,-4
8,대전,27,24,6,0,13,41,53,-12
9,안양LG,27,24,6,0,11,38,52,-14
