rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,대우,28,59,17,6,5,47,23,24
2,유공,28,53,13,9,6,38,22,16
3,현대,28,56,13,10,5,50,29,21
4,할렐,28,45,10,9,9,34,35,-1
5,포철,28,44,10,7,11,41,44,-3
6,한일,28,34,5,11,12,26,45,-19
7,럭금,28,33,8,6,14,38,45,-7
