rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,유공,40,49,17,15,8,51,40,11
2,럭금,40,47,15,17,8,53,40,13
3,대우,40,42,14,14,12,44,44,0
4,포철,40,40,13,14,13,49,50,-1
5,일화,40,33,6,21,13,44,52,-8
