rank,club,numOfGame,winScore,win,draw,lose,score,lscore,difference
1,포항,38,74,21,11,6,63,38,25
2,울산,38,73,22,7,9,63,37,26
3,전북,38,63,18,9,11,61,49,12
4,서울,38,62,17,11,10,59,46,13
5,수원,38,53,15,8,15,50,43,7
6,부산,38,52,14,10,14,43,41,2
7,인천,38,50,12,14,12,48,46,2
8,성남,38,60,17,9,12,51,42,9
9,제주,38,58,16,10,12,51,46,5
10,전남,38,40,9,13,16,34,45,-11
11,경남,38,37,8,13,17,42,55,-13
12,강원,38,36,8,12,18,37,64,-27
13,대구,38,32,6,14,18,36,57,-21
