no,name,team,alert,numOfGame,AlertPerGame
1,올리,수원,9,22,0.41
2,호제리오,전북,8,21,0.38
3,이장관,부산,7,24,0.29
4,김정재,천안,6,11,0.55
4,윤재훈,울산,6,18,0.33
4,조란,전북,6,23,0.26
4,마니치,부산,6,30,0.2
8,박민서,부산,5,18,0.28
8,서동원,대전,5,19,0.26
8,김기남2,부천SK,5,23,0.22
8,비탈리,수원,5,23,0.22
8,서혁수,전북,5,25,0.2
8,세르게이,천안,5,25,0.2
8,샤샤2,수원,5,26,0.19
8,신홍기,수원,5,27,0.19
8,조성환,부천SK,5,27,0.19
