no,name,team,alert,numOfGame,AlertPerGame
1,가비,수원,8,24,0.33
2,호제리오,전북,7,23,0.3
3,메도,포항,6,18,0.33
3,이관우,대전,6,19,0.32
3,홍명보,포항,6,19,0.32
3,조세권,울산,6,21,0.29
3,산드로C,수원,6,22,0.27
3,끌레베르,울산,6,24,0.25
9,최거룩,부천SK,5,15,0.33
9,뚜따,안양LG,5,18,0.28
9,조성환,수원,5,18,0.28
9,장철우,대전,5,24,0.21
9,김상식,성남,5,25,0.2
