no,name,team,alert,numOfGame,AlertPerGame
1,김성환,울산,12,28,0.43
2,강민수,상주,10,30,0.33
2,김수범,제주,10,31,0.32
2,현영민,전남,10,32,0.31
5,이승희,전남,9,31,0.29
5,임채민,성남,9,34,0.26
7,김남일,전북,8,20,0.4
7,손준호,포항,8,25,0.32
7,이경렬,부산,8,30,0.27
