no,name,team,alert,numOfGame,AlertPerGame
1,김원식,인천,15,31,0.48
2,구본상,울산,13,30,0.43
3,조성진,수원,11,29,0.38
3,윤영선,성남,11,35,0.31
5,웨슬리,부산,10,30,0.33
5,이찬동,광주,10,30,0.33
5,이경렬,부산,10,34,0.29
8,오범석,수원,9,29,0.31
8,손준호,포항,9,35,0.26
10,안상현1,대전,8,25,0.32
10,정다훤,제주,8,25,0.32
10,배슬기,포항,8,27,0.3
10,하성민,울산,8,28,0.29
10,권완규,인천,8,34,0.24
10,박대한,인천,8,35,0.23
