no,name,team,alert,numOfGame,AlertPerGame
1,최영일,현대,7,17,0.41
1,문영래,버팔,7,26,0.27
3,신성환,포철,6,21,0.29
3,이영상,포철,6,26,0.23
5,막스,일화,5,11,0.45
5,조우석,일화,5,11,0.45
5,이태홍,일화,5,12,0.42
5,김동기,대우,5,18,0.28
5,아미르,대우,5,21,0.24
5,이경춘,버팔,5,21,0.24
5,보로,LG,5,22,0.23
5,백송,버팔,5,25,0.2
