no,name,team,alert,numOfGame,AlertPerGame
1,조성환,전북,12,27,0.44
2,김한윤,부산,11,22,0.5
2,유종현,광주,11,23,0.48
4,김상식,전북,9,22,0.41
4,강준우1,제주,9,23,0.39
4,양상민,수원,9,23,0.39
4,사샤,성남,9,24,0.38
4,신광훈,포항,9,25,0.36
4,윤빛가람,경남,9,25,0.36
4,이호,대전,9,25,0.36
