no,name,team,alert,numOfGame,AlertPerGame
1,이종화,현대,7,35,0.2
2,김현석1,일화,5,27,0.19
2,송선호,유공,5,35,0.14
4,문원근,일화,4,18,0.22
4,방인웅,일화,4,19,0.21
4,이재희,대우,4,27,0.15
4,최영일,현대,4,29,0.14
4,문영래,유공,4,33,0.12
4,이기근,포철,4,33,0.12
10,박광현,현대,3,14,0.21
10,김용세,일화,3,21,0.14
10,남기영,포철,3,21,0.14
10,안익수,일화,3,22,0.14
10,정해원,대우,3,24,0.13
10,주경철,럭금,3,27,0.11
10,정해성,럭금,3,28,0.11
10,하성준,일화,3,28,0.11
10,박창현,포철,3,29,0.1
10,김삼수,럭금,3,30,0.1
10,노수진,유공,3,30,0.1
10,유동관,포철,3,30,0.1
10,정동복,현대,3,30,0.1
10,최윤겸,유공,3,30,0.1
