no,name,team,alert,numOfGame,AlertPerGame
1,조성환,전북,12,31,0.39
2,이민성,포항,11,39,0.28
3,김한윤,부천SK,10,34,0.29
3,박재홍,전북,10,35,0.29
5,이따마르,전남,9,34,0.26
5,호제리오,대구,9,34,0.26
7,김성일,안양LG,8,14,0.57
7,박경환,대구,8,19,0.42
7,김우재,성남,8,30,0.27
7,박동혁,전북,8,31,0.26
7,현영민,울산,8,32,0.25
7,윤주일,대구,8,36,0.22
7,주승진,대전,8,38,0.21
