no,name,team,alert,numOfGame,AlertPerGame
1,이재희,대우,5,26,0.19
1,최진한,럭금,5,29,0.17
1,강태식,포철,5,30,0.17
4,장정,럭금,4,26,0.15
4,김평석,현대,4,27,0.15
4,최윤겸,유공,4,27,0.15
4,김주성,대우,4,28,0.14
4,정해원,대우,4,28,0.14
4,남기영,포철,4,30,0.13
4,노수진,유공,4,30,0.13
