no,name,team,alert,numOfGame,AlertPerGame
1,이영진,LG,8,34,0.24
2,김상진,LG,7,27,0.26
2,조민국,LG,7,32,0.22
4,정종수,현대,6,29,0.21
4,유동관,포철,6,34,0.18
4,최영일,현대,6,34,0.18
7,방인웅,일화,5,23,0.22
7,남기영,포철,5,32,0.16
7,김성기,대우,5,34,0.15
