no,name,team,alert,numOfGame,AlertPerGame
1,김성기,유공,4,17,0.24
2,김창효,한일,3,13,0.23
2,유성조,한일,3,13,0.23
2,김현복,할렐,3,16,0.19
2,오석재,할렐,3,17,0.18
2,박항서,럭금,3,19,0.16
2,장외룡,대우,3,20,0.15
8,김태근,포철,2,4,0.5
8,백남수,유공,2,8,0.25
8,이우찬,대우,2,9,0.22
8,설정현,한일,2,10,0.2
8,추종호,현대,2,10,0.2
8,신제호,한일,2,14,0.14
8,조윤환,할렐,2,14,0.14
8,권오손,럭금,2,16,0.13
8,김경범,유공,2,16,0.13
8,정해성,럭금,2,16,0.13
8,김진옥,할렐,2,18,0.11
8,이춘석,상무,2,19,0.11
8,이학종,한일,2,19,0.11
