no,name,team,alert,numOfGame,AlertPerGame
1,이장수,유공,3,10,0.3
1,정해원,대우,3,13,0.23
1,김철수,포철,3,15,0.2
1,박창선,할렐,3,15,0.2
1,조광래,대우,3,15,0.2
6,이태호,대우,2,8,0.25
6,임고석,대우,2,9,0.22
6,김태수1,대우,2,12,0.17
6,김형남,포철,2,13,0.15
6,김홍주,국민,2,13,0.15
6,이길용1,포철,2,13,0.15
6,백남수,유공,2,14,0.14
6,이태희,국민,2,14,0.14
6,강신우,대우,2,15,0.13
6,신문선,유공,2,15,0.13
