no,name,team,alert,numOfGame,AlertPerGame
1,정해성,럭금,4,10,0.4
1,루이스,포철,4,17,0.24
1,장외룡,대우,4,18,0.22
1,이태호,대우,4,20,0.2
5,이태엽,국민,3,17,0.18
5,허정무,현대,3,23,0.13
5,박승기,국민,3,26,0.12
8,안원응,한일,2,6,0.33
8,김병관,한일,2,11,0.18
8,세자르1,포철,2,12,0.17
8,이강석,할렐,2,15,0.13
8,박병철,럭금,2,16,0.13
8,김진옥,할렐,2,17,0.12
8,김병환,국민,2,18,0.11
8,박항서,럭금,2,21,0.1
8,김광훈,럭금,2,23,0.09
8,정종수,유공,2,23,0.09
8,최상국,포철,2,23,0.09
8,김경식,한일,2,25,0.08
8,황정연,할렐,2,25,0.08
8,윤덕여,한일,2,26,0.08
8,강신우,대우,2,27,0.07
8,김한봉,현대,2,27,0.07
