no,name,team,alert,numOfGame,AlertPerGame
1,최진철,전북,11,17,0.65
2,모따,전남,10,22,0.45
3,쿠키2,부산,9,20,0.45
4,민영기,대구,7,17,0.41
4,김치곤,서울,7,19,0.37
4,김용희,부산,7,21,0.33
4,이관우,대전,7,21,0.33
4,이따마르,전남,7,22,0.32
4,산토스2,포항,7,24,0.29
10,김한윤,부천SK,6,19,0.32
10,도화성,부산,6,20,0.3
10,강정훈,대전,6,22,0.27
10,김두현,수원,6,22,0.27
10,조세권,울산,6,23,0.26
