no,name,team,alert,numOfGame,AlertPerGame
1,김남일,인천,13,25,0.52
2,김한윤,성남,12,27,0.44
3,스레텐,경남,11,33,0.33
3,안상현1,대구,11,33,0.33
5,이윤표,인천,10,30,0.33
5,신광훈,포항,10,33,0.3
7,김동기,강원,9,22,0.41
7,정혁,전북,9,28,0.32
7,박종우,부산,9,31,0.29
7,김성환,울산,9,34,0.26
