no,name,team,alert,numOfGame,AlertPerGame
1,박광현,일화,9,22,0.41
1,안성일,대우,9,24,0.38
3,손현준,LG,8,20,0.4
4,윤정환,유공,7,19,0.37
4,이경춘,전북,7,24,0.29
4,이영진1,일화,7,24,0.29
4,김태영,전남,7,25,0.28
8,고란,현대,6,16,0.38
8,세베로,현대,6,17,0.35
8,겐나디,일화,6,18,0.33
8,김종식,현대,6,20,0.3
8,안드레이1,전남,6,23,0.26
8,김기남2,포항,6,24,0.25
