no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김동훈,대우,0,9,0
1,차상광,럭금,0,9,0
3,조병득,포철,0,8,0
4,유대순,유공,0,7,0
5,김영호1,일화,0,6,0
6,오연교,현대,0,5,0
7,김풍주,대우,0,3,0
7,이문영,유공,0,3,0
7,정기동,포철,0,3,0
