no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,신범철,부산,0,11,0
2,이운재,수원,0,9,0
3,이용발,부천SK,0,6,0
4,이광석,전북,0,5,0
5,김해운,천안,0,3,0
5,박종문,전남,0,3,0
5,조준호,포항,0,3,0
8,김병지,울산,0,2,0
8,양지원,울산,0,2,0
8,임종국,안양LG,0,2,0
