no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김용대,서울,0,17,0
2,유현,인천,0,15,0
2,전상욱,부산,0,15,0
4,김병지,경남,0,13,0
5,신화용,포항,0,12,0
5,정성룡,수원,0,12,0
7,박준혁,대구,0,11,0
7,최은성,전북,0,11,0
9,김영광1,울산,0,10,0
