no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김병지,서울,0,11,0
2,김용대,성남,0,10,0
3,김지혁,울산,0,9,0
4,최은성,대전,0,8,0
5,염동균,전남,0,7,0
5,정성룡,포항,0,7,0
5,조준호,제주,0,7,0
8,권순태,전북,0,6,0
8,박호진,수원,0,6,0
8,성경모,인천,0,6,0
8,이운재,수원,0,6,0
