no,name,team,NoLooseScore,numOfGame,NoLooseSocrePerGame
1,김풍주,대우,0,20,0
2,최인영,현대,0,17,0
3,이문영,유공,0,11,0
4,차상광,LG,0,10,0
5,박철우,포철,0,6,0
6,유대순,유공,0,5,0
6,정기동,포철,0,5,0
8,마르첼,일화,0,4,0
9,김영호1,일화,0,2,0
